0.000000x,y,y_pred
0.000000,1.000000,1.000000
0.000015,1.000015,1.000015
0.000031,1.000031,1.000031
0.000046,1.000046,1.000046
0.000061,1.000061,1.000061
0.000076,1.000076,1.000076
0.000092,1.000092,1.000092
0.000107,1.000107,1.000107
0.000122,1.000122,1.000122
0.000137,1.000137,1.000137
0.000153,1.000153,1.000153
0.000168,1.000168,1.000168
0.000183,1.000183,1.000183
0.000198,1.000198,1.000198
0.000214,1.000214,1.000214
0.000229,1.000229,1.000229
0.000244,1.000244,1.000244
0.000259,1.000259,1.000259
0.000275,1.000275,1.000275
0.000290,1.000290,1.000290
0.000305,1.000305,1.000305
0.000320,1.000320,1.000320
0.000336,1.000336,1.000336
0.000351,1.000351,1.000351
0.000366,1.000366,1.000366
0.000381,1.000381,1.000381
0.000397,1.000397,1.000397
0.000412,1.000412,1.000412
0.000427,1.000427,1.000427
0.000443,1.000443,1.000443
0.000458,1.000458,1.000458
0.000473,1.000473,1.000473
0.000488,1.000488,1.000488
0.000504,1.000504,1.000504
0.000519,1.000519,1.000519
0.000534,1.000534,1.000534
0.000549,1.000549,1.000549
0.000565,1.000565,1.000565
0.000580,1.000580,1.000580
0.000595,1.000595,1.000595
0.000610,1.000610,1.000610
0.000626,1.000626,1.000626
0.000641,1.000641,1.000641
0.000656,1.000656,1.000656
0.000671,1.000671,1.000671
0.000687,1.000687,1.000687
0.000702,1.000702,1.000702
0.000717,1.000717,1.000717
0.000732,1.000732,1.000732
0.000748,1.000748,1.000748
0.000763,1.000763,1.000763
0.000778,1.000778,1.000778
0.000793,1.000793,1.000793
0.000809,1.000809,1.000809
0.000824,1.000824,1.000824
0.000839,1.000839,1.000839
0.000855,1.000855,1.000855
0.000870,1.000870,1.000870
0.000885,1.000885,1.000885
0.000900,1.000900,1.000900
0.000916,1.000916,1.000916
0.000931,1.000931,1.000931
0.000946,1.000946,1.000946
0.000961,1.000961,1.000961
0.000977,1.000977,1.000977
0.000992,1.000992,1.000992
0.001007,1.001007,1.001007
0.001022,1.001022,1.001022
0.001038,1.001038,1.001038
0.001053,1.001053,1.001053
0.001068,1.001068,1.001068
0.001083,1.001083,1.001083
0.001099,1.001099,1.001099
0.001114,1.001114,1.001114
0.001129,1.001129,1.001129
0.001144,1.001144,1.001144
0.001160,1.001160,1.001160
0.001175,1.001175,1.001175
0.001190,1.001190,1.001190
0.001205,1.001205,1.001205
0.001221,1.001221,1.001221
0.001236,1.001236,1.001236
0.001251,1.001251,1.001251
0.001266,1.001266,1.001266
0.001282,1.001282,1.001282
0.001297,1.001297,1.001297
0.001312,1.001312,1.001312
0.001328,1.001328,1.001328
0.001343,1.001343,1.001343
0.001358,1.001358,1.001358
0.001373,1.001373,1.001373
0.001389,1.001389,1.001389
0.001404,1.001404,1.001404
0.001419,1.001419,1.001419
0.001434,1.001434,1.001434
0.001450,1.001450,1.001450
0.001465,1.001465,1.001465
0.001480,1.001480,1.001480
0.001495,1.001495,1.001495
0.001511,1.001511,1.001511
0.001526,1.001526,1.001526
0.001541,1.001541,1.001541
0.001556,1.001556,1.001556
0.001572,1.001572,1.001572
0.001587,1.001587,1.001587
0.001602,1.001602,1.001602
0.001617,1.001617,1.001617
0.001633,1.001633,1.001633
0.001648,1.001648,1.001648
0.001663,1.001663,1.001663
0.001678,1.001678,1.001678
0.001694,1.001694,1.001694
0.001709,1.001709,1.001709
0.001724,1.001724,1.001724
0.001740,1.001740,1.001740
0.001755,1.001755,1.001755
0.001770,1.001770,1.001770
0.001785,1.001785,1.001785
0.001801,1.001801,1.001801
0.001816,1.001816,1.001816
0.001831,1.001831,1.001831
0.001846,1.001846,1.001846
0.001862,1.001862,1.001862
0.001877,1.001877,1.001877
0.001892,1.001892,1.001892
0.001907,1.001907,1.001907
0.001923,1.001923,1.001923
0.001938,1.001938,1.001938
0.001953,1.001953,1.001953
0.001968,1.001968,1.001968
0.001984,1.001984,1.001984
0.001999,1.001999,1.001999
0.002014,1.002014,1.002014
0.002029,1.002029,1.002029
0.002045,1.002045,1.002045
0.002060,1.002060,1.002060
0.002075,1.002075,1.002075
0.002090,1.002090,1.002090
0.002106,1.002106,1.002106
0.002121,1.002121,1.002121
0.002136,1.002136,1.002136
0.002152,1.002152,1.002152
0.002167,1.002167,1.002167
0.002182,1.002182,1.002182
0.002197,1.002197,1.002197
0.002213,1.002213,1.002213
0.002228,1.002228,1.002228
0.002243,1.002243,1.002243
0.002258,1.002258,1.002258
0.002274,1.002274,1.002274
0.002289,1.002289,1.002289
0.002304,1.002304,1.002304
0.002319,1.002319,1.002319
0.002335,1.002335,1.002335
0.002350,1.002350,1.002350
0.002365,1.002365,1.002365
0.002380,1.002380,1.002380
0.002396,1.002396,1.002396
0.002411,1.002411,1.002411
0.002426,1.002426,1.002426
0.002441,1.002441,1.002441
0.002457,1.002457,1.002457
0.002472,1.002472,1.002472
0.002487,1.002487,1.002487
0.002502,1.002502,1.002502
0.002518,1.002518,1.002518
0.002533,1.002533,1.002533
0.002548,1.002548,1.002548
0.002564,1.002564,1.002564
0.002579,1.002579,1.002579
0.002594,1.002594,1.002594
0.002609,1.002609,1.002609
0.002625,1.002625,1.002625
0.002640,1.002640,1.002640
0.002655,1.002655,1.002655
0.002670,1.002670,1.002670
0.002686,1.002686,1.002686
0.002701,1.002701,1.002701
0.002716,1.002716,1.002716
0.002731,1.002731,1.002731
0.002747,1.002747,1.002747
0.002762,1.002762,1.002762
0.002777,1.002777,1.002777
0.002792,1.002792,1.002792
0.002808,1.002808,1.002808
0.002823,1.002823,1.002823
0.002838,1.002838,1.002838
0.002853,1.002853,1.002853
0.002869,1.002869,1.002869
0.002884,1.002884,1.002884
0.002899,1.002899,1.002899
0.002914,1.002914,1.002914
0.002930,1.002930,1.002930
0.002945,1.002945,1.002945
0.002960,1.002960,1.002960
0.002976,1.002976,1.002976
0.002991,1.002991,1.002991
0.003006,1.003006,1.003006
0.003021,1.003021,1.003021
0.003037,1.003037,1.003037
0.003052,1.003052,1.003052
0.003067,1.003067,1.003067
0.003082,1.003082,1.003082
0.003098,1.003098,1.003098
0.003113,1.003113,1.003113
0.003128,1.003128,1.003128
0.003143,1.003143,1.003143
0.003159,1.003159,1.003159
0.003174,1.003174,1.003174
0.003189,1.003189,1.003189
0.003204,1.003204,1.003204
0.003220,1.003220,1.003220
0.003235,1.003235,1.003235
0.003250,1.003250,1.003250
0.003265,1.003265,1.003265
0.003281,1.003281,1.003281
0.003296,1.003296,1.003296
0.003311,1.003311,1.003311
0.003326,1.003326,1.003326
0.003342,1.003342,1.003342
0.003357,1.003357,1.003357
0.003372,1.003372,1.003372
0.003388,1.003387,1.003387
0.003403,1.003403,1.003403
0.003418,1.003418,1.003418
0.003433,1.003433,1.003433
0.003449,1.003449,1.003449
0.003464,1.003464,1.003464
0.003479,1.003479,1.003479
0.003494,1.003494,1.003494
0.003510,1.003510,1.003510
0.003525,1.003525,1.003525
0.003540,1.003540,1.003540
0.003555,1.003555,1.003555
0.003571,1.003571,1.003571
0.003586,1.003586,1.003586
0.003601,1.003601,1.003601
0.003616,1.003616,1.003616
0.003632,1.003632,1.003632
0.003647,1.003647,1.003647
0.003662,1.003662,1.003662
0.003677,1.003677,1.003677
0.003693,1.003693,1.003693
0.003708,1.003708,1.003708
0.003723,1.003723,1.003723
0.003738,1.003738,1.003738
0.003754,1.003754,1.003754
0.003769,1.003769,1.003769
0.003784,1.003784,1.003784
0.003799,1.003799,1.003799
0.003815,1.003815,1.003815
0.003830,1.003830,1.003830
0.003845,1.003845,1.003845
0.003861,1.003861,1.003861
0.003876,1.003876,1.003876
0.003891,1.003891,1.003891
0.003906,1.003906,1.003906
0.003922,1.003922,1.003922
0.003937,1.003937,1.003937
0.003952,1.003952,1.003952
0.003967,1.003967,1.003967
0.003983,1.003983,1.003983
0.003998,1.003998,1.003998
0.004013,1.004013,1.004013
0.004028,1.004028,1.004028
0.004044,1.004044,1.004044
0.004059,1.004059,1.004059
0.004074,1.004074,1.004074
0.004089,1.004089,1.004089
0.004105,1.004105,1.004105
0.004120,1.004120,1.004120
0.004135,1.004135,1.004135
0.004150,1.004150,1.004150
0.004166,1.004166,1.004166
0.004181,1.004181,1.004181
0.004196,1.004196,1.004196
0.004211,1.004211,1.004211
0.004227,1.004227,1.004227
0.004242,1.004242,1.004242
0.004257,1.004257,1.004257
0.004273,1.004273,1.004273
0.004288,1.004288,1.004288
0.004303,1.004303,1.004303
0.004318,1.004318,1.004318
0.004334,1.004334,1.004334
0.004349,1.004349,1.004349
0.004364,1.004364,1.004364
0.004379,1.004379,1.004379
0.004395,1.004395,1.004395
0.004410,1.004410,1.004410
0.004425,1.004425,1.004425
0.004440,1.004440,1.004440
0.004456,1.004456,1.004456
0.004471,1.004471,1.004471
0.004486,1.004486,1.004486
0.004501,1.004501,1.004501
0.004517,1.004517,1.004517
0.004532,1.004532,1.004532
0.004547,1.004547,1.004547
0.004562,1.004562,1.004562
0.004578,1.004578,1.004578
0.004593,1.004593,1.004593
0.004608,1.004608,1.004608
0.004623,1.004623,1.004623
0.004639,1.004639,1.004639
0.004654,1.004654,1.004654
0.004669,1.004669,1.004669
0.004685,1.004684,1.004684
0.004700,1.004700,1.004700
0.004715,1.004715,1.004715
0.004730,1.004730,1.004730
0.004746,1.004746,1.004746
0.004761,1.004761,1.004761
0.004776,1.004776,1.004776
0.004791,1.004791,1.004791
0.004807,1.004807,1.004807
0.004822,1.004822,1.004822
0.004837,1.004837,1.004837
0.004852,1.004852,1.004852
0.004868,1.004868,1.004868
0.004883,1.004883,1.004883
0.004898,1.004898,1.004898
0.004913,1.004913,1.004913
0.004929,1.004929,1.004929
0.004944,1.004944,1.004944
0.004959,1.004959,1.004959
0.004974,1.004974,1.004974
0.004990,1.004990,1.004990
0.005005,1.005005,1.005005
0.005020,1.005020,1.005020
0.005035,1.005035,1.005035
0.005051,1.005051,1.005051
0.005066,1.005066,1.005066
0.005081,1.005081,1.005081
0.005097,1.005096,1.005096
0.005112,1.005112,1.005112
0.005127,1.005127,1.005127
0.005142,1.005142,1.005142
0.005158,1.005158,1.005158
0.005173,1.005173,1.005173
0.005188,1.005188,1.005188
0.005203,1.005203,1.005203
0.005219,1.005219,1.005219
0.005234,1.005234,1.005234
0.005249,1.005249,1.005249
0.005264,1.005264,1.005264
0.005280,1.005280,1.005280
0.005295,1.005295,1.005295
